movie,release_year,critics_scores,domestic_gross
Trainwreck,2015,0.85,110.21
What If (2014),2014,0.7,3.49
Magic in the Moonlight,2014,0.52,10.54
Blended,2014,0.14,46.29
About Last Night (2014),2014,0.69,48.64
That Awkward Moment,2014,0.23,26.07
About Time,2013,0.7,15.32
Don Jon,2013,0.81,24.48
Baggage Claim,2013,0.14,21.57
The Big Wedding,2013,0.07,21.82
Playing for Keeps,2012,0.03,13.1
Silver Linings Playbook,2012,0.92,132.09
What to Expect When You're Expecting,2012,0.22,41.15
The Five-Year Engagement,2012,0.63,28.84
Think Like a Man,2012,0.53,91.55
New Year's Eve,2011,0.07,54.54
"Crazy, Stupid, Love.",2011,0.78,84.35
Friends with Benefits,2011,0.7,55.8
Larry Crowne,2011,0.41,35.61
Monte Carlo,2011,0.38,23.19
Midnight in Paris,2011,0.93,56.82
Something Borrowed,2011,0.15,39.05
Jumping the Broom,2011,0.56,37.3
Arthur (2011),2011,0.26,33.04
Just Go With It,2011,0.19,103.03
No Strings Attached,2011,0.49,70.66
How Do You Know,2010,0.32,30.21
Life as We Know It,2010,0.28,53.37
Easy A,2010,0.85,58.4
Going the Distance,2010,0.53,17.8
Sex and the City 2,2010,0.15,95.35
Just Wright,2010,0.45,21.54
The Back-Up Plan,2010,0.18,37.49
She's Out of My League,2010,0.58,32.01
Valentine's Day,2010,0.18,110.49
When in Rome,2010,0.17,32.68
Leap Year,2010,0.21,25.92
It's Complicated,2009,0.57,112.74
Did You Hear About the Morgans?,2009,0.12,29.58
All About Steve,2009,0.07,33.86
The Ugly Truth,2009,0.13,88.92
500 Days of Summer,2009,0.86,32.39
The Proposal,2009,0.44,163.96
My Life in Ruins,2009,0.09,8.67
Confessions of a Shopaholic,2009,0.25,44.28
He's Just Not That Into You,2009,0.4,93.95
New in Town,2009,0.29,16.73
My Best Friend's Girl,2008,0.14,19.22
Sex and the City,2008,0.49,152.65
What Happens in Vegas,2008,0.27,80.28
Made of Honor,2008,0.14,46.01
Forgetting Sarah Marshall,2008,0.85,63.17
"Definitely, Maybe",2008,0.71,32.24
Fool's Gold,2008,0.11,70.23
27 Dresses,2008,0.41,76.81
